id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
696892889280481939,"Spacious 3 private rooms in quiet home, Mission",43394441,Minhao,,Mission,37.76190590942077,-122.42349623352659,Private room,270,1,0,,,4,20,0,2022-004215STR
696898552866971833,Stunning *The Donatello* ST#1,340080088,Bianka,,Downtown/Civic Center,37.78862703488757,-122.40975372458276,Entire home/apt,450,2,0,,,8,4,0,Exempt
684190824282754109,SF Beachfront escape w/steam room+Hot Tub+Views,8515602,Alex,,Parkside,37.74025223508986,-122.50568999303151,Entire home/apt,514,3,0,,,1,258,0,2022-007572str
697226509493400648,"Sun-drenched, renovated apt in beautiful NOPA!",31109296,Karla,,Western Addition,37.77746489999999,-122.44257861534423,Entire home/apt,181,3,0,,,1,12,0,2022-008164STR
636409238640113324,Light filled apartment in Dolores Heights,20544007,Francesca,,Noe Valley,37.75526,-122.433083,Entire home/apt,340,30,0,,,1,87,0,
636415721642341427,SF Cozy&Quiet 2Br home on 2F/ wifi&laundry in room,457392547,Zhihui,,Parkside,37.74449,-122.47128,Entire home/apt,242,2,11,2022-08-14,3.63,3,156,11,2022-004271STR
684234806697030831,Lovely bedroom and private bath in updated condo,12541098,Cody,,Mission,37.770629419822335,-122.42306848016379,Private room,160,1,0,,,1,339,0,2022-007795STR
697391040887169293,"Beautiful condo in Union Sq, San Francisco",472204515,Five Star,,Downtown/Civic Center,37.7862505,-122.4154684,Entire home/apt,119,30,0,,,1,326,0,
684627170640282857,Welcome To *Inn At The Opera* ST#2,340080088,Bianka,,Western Addition,37.77814718813302,-122.42333993750806,Entire home/apt,172,2,0,,,8,85,0,Exempt
684668824985980992,Panoramic view master bedroom luxurious high rise,31248968,Charlotte,,South of Market,37.775659831665436,-122.4182328686618,Private room,99,90,0,,,1,272,0,
698711120316020603,Renovated 1BR w/full kitchen & king tempur-pedic,6040444,Eric,,Marina,37.80196384514904,-122.42642649735583,Entire home/apt,200,30,0,,,1,342,0,
699357884455535894,Quiet bedroom near Golden Gate Park.,446325458,Ven,,Inner Sunset,37.76246118842433,-122.47507266421903,Private room,36,30,0,,,2,333,0,
636900247121297297,Two bedroom two bath condo in Glen Park/Noe Valley,4607004,Maria,,Glen Park,37.73957,-122.43058,Entire home/apt,370,6,2,2022-08-04,0.97,1,102,2,2022-006311STR
685138697669364481,1800L - Spacious Basement Unit @ FWY & Light Rail,102405067,Ping,,Bayview,37.7374,-122.39508,Entire home/apt,122,2,3,2022-08-31,3,2,150,3,2022-007497STR
685234343082869238,San Francisco Studio apartment,470303445,Adrian,,Bernal Heights,37.744754475936126,-122.41229536409791,Entire home/apt,145,6,3,2022-08-22,3,2,59,3,2022-007021STR
